Sub,Crse,Sec,Day,Time,Room,Instructor
BIO,438,01,R,02:00 pm-04:50 pm,SCIENC 318,"Connolly, B (P)"
BIO,460,01,MWF,12:00 pm-12:50 pm,SCIENC 416,"Veerappan, V (P)"
BIO,460,01,R,09:30 am-12:20 pm,SCIENC 335,"Veerappan, V (P)"
BIO,462,01,MWF,11:00 am-11:50 am,SCIENC 432,"Laux, D (P)"
BIO,462,01,M,02:00 pm-04:50 pm,SCIENC 334,"Laux, D (P)"
BIO,466,01,M,02:00 pm-04:50 pm,SCIENC 416,"Epp, K (P)"
BIO,466,02,W,02:00 pm-04:50 pm,SCIENC 416,"Epp, K (P)"
BIO,480,01, ,TBA,TBA,"Lucin, K (P)"
BIO,480,02, ,TBA,TBA,"Veerappan, V (P)"
BIO,480,03, ,TBA,TBA,"Graham, M (P)"
BIO,480,04, ,TBA,TBA,"Epp, K (P)"
BIO,480,05, ,TBA,TBA,"Lucin, K (P)"
BIO,480,06, ,TBA,TBA,"Hulvey, J (P)"
BIO,480,07, ,TBA,TBA,"Murdoch, B (P)"
BIO,480,08, ,TBA,TBA,"Laux, D (P)"
BIO,480,09, ,TBA,TBA,"Connolly, B (P)"
BIO,488,01, ,TBA,TBA,TBA
BIO,490,01, ,TBA,TBA,"Laux, D (P)"
BIO,490,02, ,TBA,TBA,"Murdoch, B (P)"
BIO,490,03, ,TBA,TBA,"Groth, A (P)"
BIO,490,04, ,TBA,TBA,"Murdoch, B (P)"
BIO,490,05, ,TBA,TBA,"Lucin, K (P)"
BIO,490,06, ,TBA,TBA,"Mattingly, B (P)"
BIO,490,07, ,TBA,TBA,"Connolly, B (P)"
BIO,490,08, ,TBA,TBA,"Gyure, M (P)"
BIO,491,01, ,TBA,TBA,"Murdoch, B (P)"
BIO,491,02, ,TBA,TBA,"Murdoch, B (P)"
BIO,491,03, ,TBA,TBA,"Veerappan, V (P)"
BIO,491,04, ,TBA,TBA,"Lucin, K (P)"
BIO,491,05, ,TBA,TBA,"Hulvey, J (P)"
BIO,494,01, ,TBA,TBA,TBA
BUS,201,01,MWF,10:00 am-10:50 am,COMBLD 218,"Perry, K (P)"
BUS,201,02,TR,09:30 am-10:45 am,COMBLD 218,"Erwin, C (P)"
BUS,201,03,TR,11:00 am-12:15 pm,COMBLD 218,"Erwin, C (P)"
BUS,201,04,MWF,09:00 am-09:50 am,COMBLD 108,"Synnott, C (P)"
BUS,201,05,T,04:00 pm-06:45 pm,GODDAR 203,"Norval, N (P)"
BUS,201,06,MWF,11:00 am-11:50 am,COMBLD 218,"Perry, K (P)"
BUS,201,07,TR,02:00 pm-03:15 pm,COMBLD 218,"Norval, N (P)"
BUS,225,01,MWF,12:00 pm-12:50 pm,COMBLD 109,"Avent, A (P)"
BUS,225,02,W,04:00 pm-06:45 pm,COMBLD 201,"Hall, S (P)"
BUS,225,03,MWF,10:00 am-10:50 am,COMBLD 108,"Avent, A (P)"
BUS,225,04,TR,12:30 pm-01:45 pm,COMBLD 107,"Nardella, S (P)"
BUS,225,05,TR,02:00 pm-03:15 pm,COMBLD 107,"Nardella, S (P)"
BUS,225,06,TR,11:00 am-12:15 pm,COMBLD 107,"Grosjean, B (P)"
BUS,240,01,MWF,09:00 am-09:50 am,COMBLD 201,"Chatterton, C (P)"
BUS,250,01,M,04:00 pm-06:45 pm,COMBLD 218,"de Wilde, A (P)"
